id,name,description,l,b,h,seatheight,armheight,seathepth,legheight,category,price,path
1,'Block Nomad Sofa','Nomad is the “internet’s favorite sofa” as well as the award-winning and best-selling design that put Burrow on the map. Suffice it to say. we have a lot of love for this one. It’s rooted in a classic American mid-century silhouette that’s familiar to anyone who has watched Mad Men or just looked at the shape of the couch emoji. But from there you can take it anywhere: there are tens of thousands of ways to make it your own from material and color to the armrest style to upgrades like the Sleep Kit — and it still ships in as little as a week. What can we say? There’s a reason its popular.',85,35,33,17,24,22,7,'Living',800,'./public/assets/images/sofas/Living/black_nomad'
2,'Block Nomad King','Nomad is the “internet’s favorite sofa” as well as the award-winning and best-selling design that put Burrow on the map. Suffice it to say. we have a lot of love for this one. It’s rooted in a classic American mid-century silhouette that’s familiar to anyone who has watched Mad Men or just looked at the shape of the couch emoji. But from there you can take it anywhere: there are tens of thousands of ways to make it your own from material and color to the armrest style to upgrades like the Sleep Kit — and it still ships in as little as a week. What can we say? There’s a reason its popular.',111,61,33,17,24,22,7,'Living',1200,'./public/assets/images/sofas/Living/black_nomad_king'
3,'Mambo Sofa','Ladies and gentleman this is Mambo. A modern modular seating system that refuses to compromise between comfort style or convenience. Unlike other blocky contemporary sofas and sectionals — that are basically just foam blocks wrapped in fabric made for looking at and not sitting in — Mambo features graceful curves and soft cushions in all the right places. With high or low arm options durable fabric or luxurious leather upholstery. and adaptable modular design. it’s a canvas for your dream couch.',126,37,28,18,20,26,2,'Living',750,'./public/assets/images/sofas/Living/mambo_sofa'
4,'Nomad Velvet','Nomad is the “internet’s favorite sofa” as well as the award-winning and best-selling design that put Burrow on the map. Suffice it to say. we have a lot of love for this one. It’s rooted in a classic American mid-century silhouette that’s familiar to anyone who has watched Mad Men or just looked at the shape of the couch emoji. But from there you can take it anywhere: there are tens of thousands of ways to make it your own from material and color to the armrest style to upgrades like the Sleep Kit — and it still ships in as little as a week. What can we say? There’s a reason its popular.',85,35,33,17,24,22,7,'Living',850,'./public/assets/images/sofas/Living/nomad_velvet'
5,'Dunes Teak Sofa','From Santa Monica to Southampton and every backyard in between Dunes was designed to bring a sense of luxury comfort and durability to outdoor spaces. First and foremost it’s a celebration of authentic sustainably sourced teak considered the gold standard in weather-ready wood. Heck teak is so durable they make boats out of it. Beyond the premium materials Dunes features a refined mid-century silhouette and surfboard-inspired details that come together to create a warm welcoming outdoor lounge.',95,33,21,28,33,20,8,'Outdoor',400,'./public/assets/images/sofas/Outdoor/Dunes_teak'
6,'Dunes Teak Sun Lounger','From Santa Monica to Southampton and every backyard in between Dunes was designed to bring a sense of luxury comfort and durability to outdoor spaces. First and foremost it’s a celebration of authentic sustainably sourced teak considered the gold standard in weather-ready wood. Heck teak is so durable they make boats out of it. Beyond the premium materials Dunes features a refined mid-century silhouette and surfboard-inspired details that come together to create a warm welcoming outdoor lounge.',24,72,14,14,0,0,8,'Outdoor',250,'./public/assets/images/sofas/Outdoor/dunes_teak_sun_lounger'
7,'Relay Sofa','All that incredible modular innovation we’re known for? We took it outside. The Relay Collection builds upon our design team’s expertise and experience in creating comfortable premium furniture for inside the house and cranks up the durability for fun in the sun (and shade and rain and even snow). The frame is made from powder coated galvanized steel that’ll never rust the quick-dry cushions haven’t even heard of sponges and the all-weather fabric repels liquids dirt and even UV rays. Don’t forget the SPF for yourself though.',92,32,33,17,33,16,7,'Outdoor',790,'./public/assets/images/sofas/Outdoor/relay_sofa'
8,'Alto Dining Chairs','Here’s a new way to sing for your supper: grab your plate and settle in to the Alto Dining Chair a demure yet durable seat that’s designed for lasting comfort. Featuring foam cushioning in mess-friendly upholstery and finished in a choice of steel or wood legs Alto makes it a pleasure to enjoy breakfast dinner and everything in between. But what makes this chair a real VIP is its ability to work in just about every setting and design scheme. Versatile sturdy and comfortable you’ll be singing its praises in no time at all.',24,19,32,19,0,13,18,'Dining',150,'./public/assets/images/sofas/Dining/alto_dining_chairs'
9,'Haiku Dining Chairs','The Haiku Dining Chair features an iconic silhouette that's found in bistros and bars all over the globe for good reason: it’s timeless. It's a classic café-style chair but of course we gave it a Burrow twist with simple assembly premium materials and a broad ergonomic wood back. The plush seat is available upholstered in durable fabric or luxurious leather while the solid hardwood frame supports years of daily use. Set it in your kitchen and you'll be writing verses on how much you love it.',24,19,32,19,0,13,18,Dining,160,'./public/assets/images/sofas/Dining/haiku_dining_chairs'
10,'Harvest Extendable Dining Table','Time to bring everything to the table because the Harvest Extendable Dining Table is a versatile design made to accommodate all. It takes the classic Parsons style and updates it for modern life with sturdy wood construction a scratch- and stain-resistant surface and an innovative easy-to-move extension leaf that seamlessly hides away when not in use. Whether catering for one or for eight for quiet weeknight dinners or raucous weekend gatherings the Harvest Extendable Dining Table epitomizes the notion that great design is best when shared.',79,36,30,null,null,null,null,'Dining',389,'./public/assets/images/sofas/Dining/harvest_extendable'
11,'Serif Extendable Dining Table','The Serif Extendable Dining Table is where five star dining and being a regular come together. Featuring a leaf that expands the table to accommodate up to eight people it’s also just as easy to savor a more intimate meal thanks to the clever hidden tray that stores the leaf when not in use. Don’t let its elegance fool you: the scratch- and stain-resistant tabletop is supported by a durable hardwood frame ensuring this impressive centerpiece will withstand every food fight and every fight over food.',80,38,32,null,null,null,null,'Dining',399,'./public/assets/images/sofas/Dining/serif_extendable'